ID,Age,Attrition,AttritionBinary,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,DailyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
156,30,No,0,Non-Travel,Sales,25,2,Technical Degree,1,475,4,Female,85,3,2,Sales Executive,3,Married,4736,6069,641,7,Y,Yes,12,3,2,80,1,4,2,4,2,2,2,2
157,40,No,0,Travel_Rarely,Sales,2,2,Marketing,1,1986,2,Female,92,3,2,Sales Executive,2,Married,5677,4258,444,3,Y,No,14,3,3,80,1,15,4,3,11,8,5,10
159,43,No,0,Travel_Frequently,Research & Development,27,3,Life Sciences,1,1126,3,Female,83,3,3,Manufacturing Director,1,Married,10820,11535,1082,8,Y,No,11,3,3,80,1,18,1,3,8,7,0,1
160,42,No,0,Travel_Frequently,Research & Development,26,5,Medical,1,1242,1,Female,60,3,3,Research Director,1,Married,13191,23281,458,3,Y,Yes,17,3,3,80,0,20,6,3,1,0,0,0
161,30,No,0,Travel_Rarely,Research & Development,1,1,Life Sciences,1,104,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,852,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0
163,33,No,0,Travel_Rarely,Sales,8,4,Marketing,1,677,3,Male,39,3,2,Sales Executive,3,Divorced,7104,20431,1216,0,Y,No,12,3,4,80,0,6,3,3,5,0,1,2
164,42,No,0,Travel_Rarely,Research & Development,17,2,Life Sciences,1,347,4,Female,82,4,2,Research Scientist,1,Single,6545,23016,916,3,Y,Yes,13,3,3,80,0,10,1,3,3,2,0,2
165,35,No,0,Travel_Rarely,Sales,16,3,Marketing,1,406,3,Male,96,3,3,Sales Executive,2,Married,8020,5100,1232,0,Y,No,15,3,3,80,2,12,3,2,11,9,6,9
167,49,No,0,Travel_Rarely,Research & Development,22,4,Other,1,1655,1,Female,72,3,4,Research Director,2,Married,16413,3498,301,3,Y,No,16,3,2,80,2,27,2,3,4,2,1,2
168,33,No,0,Travel_Rarely,Research & Development,1,5,Medical,1,612,1,Female,95,4,4,Research Director,3,Divorced,16184,22578,922,4,Y,No,19,3,3,80,1,10,2,3,6,1,0,5
169,52,No,0,Travel_Rarely,Research & Development,6,2,Technical Degree,1,630,4,Male,78,3,2,Research Scientist,1,Divorced,5577,22087,956,3,Y,Yes,12,3,2,80,2,18,3,3,10,9,6,9
170,29,No,0,Travel_Rarely,Research & Development,28,4,Life Sciences,1,1120,3,Female,93,3,1,Research Scientist,4,Divorced,2514,26968,1107,4,Y,No,22,4,1,80,1,11,1,3,7,5,1,7
171,30,No,0,Travel_Rarely,Sales,27,5,Marketing,1,747,3,Male,99,3,2,Sales Executive,4,Divorced,5304,25275,501,7,Y,No,23,4,4,80,1,10,2,2,8,7,7,7
172,47,No,0,Non-Travel,Research & Development,14,4,Technical Degree,1,1934,3,Male,64,3,2,Research Scientist,2,Married,5467,2125,1169,8,Y,No,18,3,3,80,1,16,4,4,8,7,1,7
173,46,No,0,Travel_Frequently,Research & Development,18,1,Medical,1,624,1,Female,86,3,3,Healthcare Representative,3,Married,10527,8984,1034,5,Y,No,11,3,4,80,0,28,3,2,2,2,1,2
174,33,No,0,Travel_Rarely,Sales,10,5,Marketing,1,1268,4,Male,82,4,3,Sales Executive,3,Divorced,8380,21708,536,0,Y,Yes,14,3,4,80,2,10,3,3,9,8,0,8
175,53,No,0,Travel_Rarely,Sales,2,2,Medical,1,981,3,Male,45,3,4,Manager,3,Divorced,14852,13938,1376,6,Y,No,13,3,3,80,1,22,3,4,17,13,15,2
176,21,No,0,Travel_Rarely,Research & Development,1,1,Technical Degree,1,1131,4,Female,70,2,1,Research Scientist,2,Single,2070,25326,984,1,Y,Yes,11,3,3,80,0,2,6,4,2,2,2,2
179,32,No,0,Travel_Frequently,Sales,8,3,Marketing,1,207,2,Female,43,3,3,Sales Executive,4,Single,8998,15589,967,1,Y,No,14,3,4,80,0,9,2,3,9,8,3,7
180,38,No,0,Travel_Rarely,Sales,1,4,Life Sciences,1,230,1,Female,59,2,2,Sales Executive,4,Single,8686,12930,702,4,Y,No,22,4,3,80,0,12,2,4,8,3,0,7
181,35,No,0,Travel_Rarely,Research & Development,2,3,Life Sciences,1,1182,3,Male,44,2,3,Manufacturing Director,2,Divorced,10274,19588,819,2,Y,No,18,3,2,80,1,15,2,4,7,7,6,4
182,38,No,0,Travel_Rarely,Sales,2,2,Life Sciences,1,1355,2,Female,31,3,2,Sales Executive,1,Divorced,6893,19461,1009,3,Y,No,15,3,4,80,1,11,3,3,7,7,1,7
183,43,No,0,Travel_Frequently,Research & Development,28,3,Medical,1,171,2,Female,72,4,1,Research Scientist,3,Single,4739,16090,957,4,Y,No,12,3,4,80,0,18,2,3,3,2,1,2
184,39,No,0,Travel_Rarely,Research & Development,6,3,Life Sciences,1,1525,2,Female,32,3,3,Manufacturing Director,2,Single,8376,9150,1089,4,Y,No,18,3,4,80,0,9,3,3,2,0,2,2
185,39,No,0,Travel_Frequently,Research & Development,8,1,Life Sciences,1,602,3,Female,48,3,1,Laboratory Technician,3,Married,3755,17872,443,1,Y,No,11,3,1,80,1,8,3,3,8,3,0,7
186,28,No,0,Travel_Rarely,Research & Development,9,3,Medical,1,377,4,Male,94,3,1,Research Scientist,4,Married,2070,2613,1158,1,Y,No,23,4,4,80,1,5,3,2,5,2,0,4
187,25,No,0,Travel_Frequently,Research & Development,2,1,Life Sciences,1,1653,4,Male,77,4,2,Manufacturing Director,3,Divorced,5206,4973,772,1,Y,No,17,3,3,80,2,7,6,3,7,7,0,7
188,47,No,0,Travel_Rarely,Sales,2,4,Life Sciences,1,1676,2,Female,47,4,4,Manager,2,Divorced,15972,21086,1225,6,Y,No,14,3,3,80,3,29,2,3,3,2,1,2
189,50,No,0,Travel_Rarely,Research & Development,4,1,Life Sciences,1,385,1,Male,96,3,5,Research Director,2,Divorced,19144,15815,797,3,Y,No,14,3,1,80,2,28,4,2,10,4,1,6
190,28,No,0,Non-Travel,Sales,4,3,Medical,1,129,2,Male,43,3,2,Sales Executive,3,Married,4221,8863,120,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4
191,30,No,0,Travel_Rarely,Research & Development,28,2,Medical,1,441,4,Female,64,3,2,Research Scientist,4,Married,5775,11934,1275,1,Y,No,13,3,4,80,2,11,2,3,10,8,1,9
192,31,No,0,Travel_Frequently,Sales,7,4,Marketing,1,1833,1,Female,68,3,3,Sales Executive,1,Married,9637,8277,1125,2,Y,No,14,3,4,80,2,9,3,3,3,2,2,2
193,46,No,0,Travel_Rarely,Research & Development,18,3,Medical,1,550,3,Female,87,3,2,Manufacturing Director,3,Divorced,4810,26314,1485,2,Y,No,14,3,3,80,1,19,5,2,10,7,0,8
194,48,No,0,Travel_Rarely,Sales,2,5,Marketing,1,595,2,Female,37,3,2,Sales Executive,4,Married,4051,19658,163,2,Y,No,14,3,1,80,1,14,2,3,9,7,6,7
195,26,No,0,Travel_Rarely,Research & Development,2,1,Medical,1,1407,1,Male,36,2,1,Research Scientist,4,Single,3904,4050,683,0,Y,No,12,3,4,80,0,5,2,3,4,3,1,1
196,51,No,0,Travel_Rarely,Research & Development,1,3,Life Sciences,1,353,3,Male,96,3,1,Research Scientist,4,Married,2723,23231,833,1,Y,No,11,3,2,80,0,1,0,2,1,0,0,0
197,51,No,0,Travel_Rarely,Research & Development,9,4,Life Sciences,1,116,4,Male,96,3,1,Laboratory Technician,4,Married,2075,18725,432,3,Y,No,23,4,2,80,2,10,4,3,4,2,0,3
198,49,No,0,Travel_Rarely,Sales,8,4,Technical Degree,1,1138,4,Male,56,2,4,Sales Executive,2,Married,13120,11879,174,6,Y,No,17,3,2,80,1,22,3,3,9,8,2,3
199,44,No,0,Travel_Rarely,Research & Development,7,4,Medical,1,36,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,477,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17
200,24,No,0,Travel_Rarely,Research & Development,17,2,Other,1,643,4,Male,94,2,1,Laboratory Technician,2,Married,2127,9100,823,1,Y,No,21,4,4,80,1,1,2,3,1,0,0,0
202,32,No,0,Travel_Rarely,Research & Development,1,3,Life Sciences,1,96,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,548,1,Y,No,17,3,2,80,2,10,3,3,10,4,0,9
203,32,No,0,Travel_Rarely,Research & Development,4,3,Life Sciences,1,830,3,Female,98,2,2,Manufacturing Director,3,Married,6162,19124,859,1,Y,No,12,3,3,80,1,14,3,3,14,13,6,8
205,32,No,0,Travel_Rarely,Sales,4,2,Life Sciences,1,330,3,Female,56,3,1,Sales Representative,2,Married,3931,20990,1401,2,Y,No,11,3,1,80,1,6,5,3,4,3,1,2
206,44,No,0,Travel_Rarely,Research & Development,9,2,Life Sciences,1,913,2,Male,61,3,1,Research Scientist,1,Married,2559,7508,661,1,Y,Yes,13,3,4,80,0,8,0,3,8,7,7,1
209,30,No,0,Travel_Rarely,Research & Development,5,3,Technical Degree,1,197,4,Female,84,3,1,Research Scientist,1,Divorced,3204,10415,201,5,Y,No,14,3,4,80,1,8,3,3,3,2,2,2
210,41,No,0,Travel_Rarely,Sales,9,1,Life Sciences,1,176,3,Male,96,3,3,Sales Executive,3,Divorced,8189,21196,802,3,Y,Yes,13,3,3,80,1,12,2,3,9,7,0,7
211,41,No,0,Travel_Rarely,Research & Development,28,4,Life Sciences,1,2034,1,Female,60,2,4,Manufacturing Director,2,Married,13570,5640,582,0,Y,No,23,4,3,80,1,21,3,3,20,7,0,10
212,42,No,0,Travel_Rarely,Sales,5,2,Marketing,1,1029,4,Male,90,3,5,Manager,3,Married,18303,7770,265,6,Y,No,13,3,2,80,0,21,3,4,1,0,0,0
213,37,No,0,Travel_Rarely,Research & Development,10,2,Life Sciences,1,715,4,Male,80,4,1,Research Scientist,4,Single,4680,15232,1225,3,Y,No,17,3,1,80,0,4,2,3,1,0,0,0
214,42,No,0,Travel_Rarely,Research & Development,1,2,Life Sciences,1,827,4,Female,43,2,2,Manufacturing Director,4,Married,6062,4051,932,9,Y,Yes,13,3,4,80,1,8,4,3,4,3,0,2
215,27,No,0,Travel_Rarely,Research & Development,3,4,Medical,1,700,1,Male,54,2,1,Research Scientist,4,Single,2045,15174,1115,0,Y,No,13,3,4,80,0,5,0,3,4,2,1,1
216,40,No,0,Travel_Rarely,Research & Development,2,3,Medical,1,1474,3,Male,68,3,1,Research Scientist,3,Divorced,2345,8045,896,2,Y,No,14,3,3,80,1,8,3,4,3,1,1,2
217,38,No,0,Travel_Rarely,Research & Development,10,3,Medical,1,634,3,Female,76,3,2,Healthcare Representative,3,Married,9824,22174,1495,3,Y,No,19,3,3,80,1,18,4,3,1,0,0,0
218,48,No,0,Travel_Frequently,Research & Development,22,3,Medical,1,1900,4,Female,58,3,4,Manager,4,Divorced,17174,2437,117,3,Y,No,11,3,2,80,1,24,3,3,22,17,4,7
219,30,No,0,Travel_Rarely,Research & Development,18,3,Life Sciences,1,194,1,Female,75,3,1,Research Scientist,3,Single,2632,23910,438,1,Y,No,14,3,3,80,0,5,4,2,5,4,0,4
220,26,No,0,Travel_Rarely,Research & Development,4,2,Life Sciences,1,1275,3,Male,53,3,1,Research Scientist,4,Single,2875,9973,583,1,Y,Yes,20,4,2,80,0,8,2,2,8,5,2,2
221,34,No,0,Travel_Rarely,Sales,2,3,Other,1,786,4,Male,60,3,2,Sales Executive,4,Single,6274,18686,304,1,Y,No,22,4,3,80,0,6,5,3,6,5,1,4
223,33,No,0,Non-Travel,Sales,16,3,Life Sciences,1,1681,3,Female,36,3,2,Sales Executive,4,Divorced,5368,16130,530,1,Y,Yes,25,4,3,80,1,7,2,3,6,5,1,2
224,28,No,0,Travel_Rarely,Research & Development,1,3,Life Sciences,1,1506,1,Male,72,2,1,Research Scientist,3,Divorced,1563,12530,1423,1,Y,No,14,3,4,80,1,1,2,1,1,0,0,0
225,38,No,0,Travel_Rarely,Research & Development,9,2,Life Sciences,1,1940,2,Male,71,3,1,Research Scientist,4,Divorced,4771,14293,1206,2,Y,No,19,3,4,80,2,10,0,4,5,2,0,3
226,30,No,0,Travel_Rarely,Research & Development,1,2,Medical,1,1989,4,Male,76,3,1,Laboratory Technician,2,Married,3748,4077,911,1,Y,No,13,3,3,80,0,12,6,2,12,8,1,7
227,35,No,0,Travel_Rarely,Research & Development,4,2,Other,1,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,464,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0
228,22,No,0,Travel_Rarely,Research & Development,5,3,Life Sciences,1,284,4,Male,60,4,1,Research Scientist,2,Divorced,2328,12392,1136,1,Y,Yes,16,3,1,80,1,4,2,2,4,2,2,2
229,24,No,0,Travel_Rarely,Sales,3,2,Other,1,128,1,Female,33,3,2,Sales Executive,3,Married,4999,17519,1353,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2
230,49,No,0,Travel_Rarely,Research & Development,6,1,Life Sciences,1,1661,3,Female,41,2,4,Healthcare Representative,3,Married,13966,11652,465,2,Y,Yes,19,3,2,80,1,30,3,3,15,11,2,12
231,45,No,0,Travel_Rarely,Research & Development,2,2,Other,1,1635,4,Female,59,2,2,Manufacturing Director,4,Divorced,5770,5388,1329,1,Y,No,19,3,1,80,2,10,3,3,10,7,3,9
232,35,No,0,Travel_Rarely,Sales,2,3,Marketing,1,49,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,890,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2
234,54,No,0,Travel_Rarely,Sales,3,3,Marketing,1,303,4,Female,52,3,2,Sales Executive,1,Married,5940,17011,1147,2,Y,No,14,3,4,80,1,16,4,3,6,2,0,5
235,43,No,0,Travel_Frequently,Sales,26,2,Life Sciences,1,158,3,Male,92,3,4,Manager,4,Married,16959,19494,394,1,Y,Yes,12,3,4,80,2,25,3,4,25,12,4,12
237,42,No,0,Travel_Rarely,Research & Development,2,3,Life Sciences,1,2031,1,Male,56,3,5,Manager,3,Married,18880,17312,300,5,Y,No,11,3,1,80,0,24,2,2,22,6,4,14
238,32,No,0,Travel_Rarely,Research & Development,9,4,Life Sciences,1,679,1,Female,92,3,2,Research Scientist,4,Married,6322,18089,646,1,Y,Yes,12,3,4,80,1,6,2,2,6,4,0,5
239,25,No,0,Travel_Rarely,Human Resources,2,3,Human Resources,1,1987,3,Female,82,3,1,Human Resources,2,Married,2187,19655,309,4,Y,No,14,3,3,80,0,6,3,3,2,0,1,2
240,50,No,0,Travel_Rarely,Research & Development,17,5,Life Sciences,1,1656,4,Female,50,2,3,Research Director,1,Divorced,13269,21981,813,5,Y,No,15,3,3,80,3,19,3,3,14,11,1,11
241,42,No,0,Travel_Rarely,Research & Development,24,3,Medical,1,605,4,Male,56,3,3,Manufacturing Director,1,Married,7406,6950,319,1,Y,Yes,21,4,4,80,1,10,5,2,10,9,5,8
242,45,No,0,Travel_Frequently,Research & Development,25,3,Medical,1,1306,2,Female,83,3,5,Manager,2,Single,18061,13035,364,3,Y,No,22,4,3,80,0,22,4,3,0,0,0,0
243,29,No,0,Travel_Rarely,Research & Development,2,3,Life Sciences,1,94,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,1328,0,Y,No,23,4,4,80,1,6,3,3,5,4,0,4
245,29,No,0,Travel_Rarely,Research & Development,8,1,Medical,1,1150,2,Male,79,2,2,Manufacturing Director,4,Married,5056,17689,718,1,Y,Yes,15,3,3,80,1,10,2,2,10,7,1,2
246,29,No,0,Travel_Rarely,Research & Development,7,1,Medical,1,912,1,Female,62,2,1,Laboratory Technician,4,Divorced,2532,6054,1086,6,Y,No,14,3,3,80,3,8,5,3,4,3,0,3
247,31,No,0,Travel_Rarely,Research & Development,7,4,Medical,1,462,3,Female,39,3,3,Manufacturing Director,4,Single,7143,25713,1232,1,Y,Yes,14,3,3,80,0,11,2,2,11,9,4,10
248,32,No,0,Travel_Rarely,Sales,1,4,Medical,1,2013,2,Male,68,2,1,Sales Representative,2,Married,2269,18024,234,0,Y,No,14,3,2,80,1,3,2,3,2,2,2,2
249,41,No,0,Travel_Frequently,Research & Development,22,3,Life Sciences,1,1392,4,Female,75,3,2,Research Scientist,4,Divorced,5467,13953,1200,3,Y,Yes,14,3,1,80,2,12,4,2,6,2,3,3
250,41,No,0,Travel_Rarely,Sales,2,5,Life Sciences,1,625,2,Female,91,3,4,Manager,1,Married,16595,5626,1276,7,Y,No,16,3,2,80,1,22,2,3,18,16,11,8
251,33,No,0,Non-Travel,Research & Development,1,2,Medical,1,1994,2,Male,59,2,1,Laboratory Technician,3,Divorced,2008,20439,1313,1,Y,No,12,3,3,80,3,1,2,2,1,1,0,0
252,36,No,0,Non-Travel,Sales,8,4,Technical Degree,1,990,1,Male,84,3,2,Sales Executive,4,Divorced,5079,25952,1229,4,Y,No,13,3,4,80,2,12,3,3,7,7,0,7
253,45,No,0,Travel_Rarely,Research & Development,2,3,Life Sciences,1,834,2,Female,95,2,1,Research Scientist,3,Single,2274,6153,252,1,Y,No,14,3,4,80,0,1,3,3,1,0,0,0
255,40,No,0,Non-Travel,Research & Development,8,1,Medical,1,1468,4,Male,55,2,3,Research Director,2,Divorced,13757,25178,218,2,Y,No,11,3,3,80,1,16,5,3,9,8,4,8
256,43,No,0,Non-Travel,Research & Development,9,3,Life Sciences,1,1813,1,Male,52,3,1,Research Scientist,3,Single,2438,24978,343,4,Y,No,13,3,3,80,0,7,2,2,3,2,1,2
257,31,No,0,Travel_Frequently,Sales,5,3,Marketing,1,399,4,Female,84,3,1,Sales Representative,2,Divorced,2789,3909,444,1,Y,No,11,3,3,80,1,2,5,2,2,2,2,2
258,30,No,0,Travel_Rarely,Sales,7,4,Marketing,1,1428,4,Female,73,3,2,Sales Executive,1,Divorced,4779,12761,855,7,Y,No,14,3,2,80,2,8,3,3,3,2,0,2
259,34,No,0,Travel_Rarely,Sales,4,3,Life Sciences,1,1882,3,Male,64,3,3,Sales Executive,4,Married,9713,24444,1480,2,Y,Yes,13,3,4,80,3,9,3,3,5,3,1,0
260,25,No,0,Travel_Rarely,Research & Development,2,1,Other,1,1992,4,Male,57,3,1,Laboratory Technician,3,Divorced,3977,7298,977,6,Y,Yes,19,3,3,80,1,7,2,2,2,2,0,2
264,29,No,0,Travel_Frequently,Sales,20,3,Technical Degree,1,974,3,Female,84,3,1,Sales Representative,4,Married,2157,18203,1404,1,Y,No,15,3,2,80,1,3,5,3,3,1,0,2
265,24,No,0,Travel_Rarely,Research & Development,18,1,Life Sciences,1,150,2,Male,52,3,1,Laboratory Technician,3,Married,2774,13257,1127,0,Y,No,12,3,3,80,1,6,2,3,5,3,1,2
266,35,No,0,Travel_Rarely,Research & Development,16,3,Medical,1,14,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,809,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3
267,34,No,0,Travel_Frequently,Research & Development,15,3,Medical,1,1485,2,Male,71,3,4,Research Director,1,Divorced,17007,11929,829,7,Y,No,14,3,4,80,2,16,3,2,14,8,6,9
269,33,No,0,Travel_Frequently,Research & Development,7,2,Life Sciences,1,1970,4,Male,36,3,2,Healthcare Representative,3,Divorced,5968,18079,1303,1,Y,No,20,4,3,80,3,9,2,3,9,7,2,8
270,30,No,0,Travel_Rarely,Research & Development,20,3,Other,1,1084,3,Male,85,3,2,Manufacturing Director,1,Married,9957,9096,1176,0,Y,No,15,3,3,80,1,7,1,2,6,2,0,2
271,45,No,0,Non-Travel,Sales,2,4,Life Sciences,1,1845,3,Female,67,3,2,Sales Executive,3,Married,5154,19665,589,4,Y,No,22,4,2,80,2,10,3,4,8,7,5,7
272,34,No,0,Travel_Rarely,Research & Development,3,3,Life Sciences,1,1658,4,Female,66,3,2,Research Scientist,2,Divorced,5433,19332,1130,1,Y,No,12,3,3,80,1,11,2,3,11,8,7,9
273,27,No,0,Travel_Rarely,Sales,23,1,Medical,1,1864,2,Female,36,2,2,Sales Representative,3,Married,3540,7018,728,1,Y,No,21,4,4,80,1,9,5,3,9,8,5,8
274,36,No,0,Travel_Rarely,Sales,16,4,Marketing,1,1436,3,Female,98,2,2,Sales Executive,1,Married,5647,13494,329,4,Y,No,13,3,1,80,2,11,3,2,3,2,0,2
275,55,No,0,Travel_Rarely,Research & Development,14,4,Medical,1,254,3,Male,61,4,5,Research Director,2,Single,18722,13339,692,8,Y,No,11,3,4,80,0,36,3,3,24,15,2,15
276,56,No,0,Travel_Rarely,Research & Development,4,4,Technical Degree,1,1191,4,Female,92,3,5,Manager,1,Divorced,19943,18575,718,4,Y,No,13,3,4,80,1,28,2,3,5,2,4,2
277,22,No,0,Travel_Rarely,Research & Development,11,3,Medical,1,511,1,Female,43,3,1,Research Scientist,2,Married,2244,24440,253,1,Y,No,13,3,4,80,1,2,1,3,2,1,1,2
278,43,No,0,Travel_Frequently,Research & Development,10,4,Life Sciences,1,430,3,Female,33,3,1,Laboratory Technician,4,Single,2455,10675,185,0,Y,No,19,3,1,80,0,9,5,3,8,7,1,7
280,55,No,0,Travel_Rarely,Research & Development,4,4,Life Sciences,1,1501,4,Male,30,3,2,Healthcare Representative,3,Married,4035,16143,1229,0,Y,Yes,16,3,2,80,0,4,2,3,3,2,1,2
281,43,No,0,Travel_Rarely,Sales,2,3,Medical,1,1706,4,Male,73,3,2,Sales Executive,4,Married,7847,6069,1179,1,Y,Yes,17,3,1,80,1,10,3,3,10,9,8,8
282,41,No,0,Travel_Rarely,Research & Development,6,3,Medical,1,957,4,Male,59,3,1,Laboratory Technician,1,Single,4721,3119,263,2,Y,Yes,13,3,3,80,0,20,3,3,18,13,2,17
283,40,No,0,Travel_Rarely,Research & Development,1,3,Life Sciences,1,1822,3,Female,52,3,2,Healthcare Representative,4,Divorced,6513,9060,1194,4,Y,No,17,3,4,80,1,12,3,3,5,3,0,3
284,31,No,0,Travel_Rarely,Sales,7,3,Marketing,1,438,4,Male,73,3,2,Sales Executive,4,Divorced,7547,7143,691,4,Y,No,12,3,4,80,3,13,3,3,7,7,1,7
285,38,No,0,Travel_Rarely,Human Resources,1,3,Human Resources,1,1152,3,Male,37,4,1,Human Resources,3,Married,2844,6004,433,1,Y,No,13,3,4,80,1,7,2,4,7,6,5,0
286,33,No,0,Travel_Rarely,Research & Development,28,4,Life Sciences,1,1549,2,Male,79,3,2,Laboratory Technician,3,Married,5207,22949,589,1,Y,Yes,12,3,2,80,1,15,3,3,15,14,5,7
288,34,No,0,Travel_Rarely,Research & Development,19,2,Medical,1,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,1346,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2
289,36,No,0,Travel_Frequently,Sales,11,2,Technical Degree,1,154,2,Female,92,3,3,Sales Executive,4,Married,9738,22952,1467,0,Y,No,14,3,3,80,1,10,6,3,9,7,2,8
290,35,No,0,Travel_Rarely,Sales,8,4,Life Sciences,1,805,1,Female,72,3,1,Sales Representative,4,Married,2572,20317,384,1,Y,No,16,3,2,80,1,3,1,2,3,2,0,2
291,45,No,0,Travel_Rarely,Research & Development,1,4,Medical,1,996,4,Female,91,3,1,Laboratory Technician,4,Divorced,2270,11005,974,3,Y,No,14,3,4,80,2,8,2,3,5,3,0,2
292,36,No,0,Non-Travel,Research & Development,24,4,Life Sciences,1,419,2,Female,47,3,2,Laboratory Technician,2,Married,5674,6927,1105,7,Y,No,15,3,3,80,1,11,3,3,9,8,0,8
293,27,No,0,Travel_Rarely,Research & Development,9,3,Medical,1,260,4,Female,99,3,1,Research Scientist,2,Single,2279,11781,894,1,Y,No,16,3,4,80,0,7,2,2,7,7,0,3
294,47,No,0,Non-Travel,Research & Development,1,1,Medical,1,2000,3,Female,98,3,3,Research Director,2,Married,11957,17231,1162,0,Y,No,18,3,1,80,2,14,3,1,13,8,5,12
295,40,No,0,Travel_Rarely,Human Resources,6,2,Medical,1,1550,3,Male,38,3,4,Manager,4,Single,16437,17381,898,1,Y,Yes,21,4,4,80,0,21,2,3,21,7,7,7
296,35,No,0,Travel_Rarely,Research & Development,11,4,Medical,1,2003,4,Male,43,3,1,Laboratory Technician,3,Married,2660,20232,1490,7,Y,Yes,11,3,3,80,1,5,3,3,2,2,2,2
297,34,No,0,Travel_Frequently,Research & Development,2,1,Life Sciences,1,256,4,Male,45,2,2,Manufacturing Director,3,Married,9547,14074,1069,1,Y,No,17,3,3,80,0,10,2,2,10,9,1,9
301,32,No,0,Travel_Frequently,Sales,5,2,Life Sciences,1,889,2,Male,48,3,2,Sales Executive,2,Married,6524,8891,379,1,Y,No,14,3,4,80,1,10,3,3,10,8,5,3
302,35,No,0,Travel_Frequently,Sales,18,5,Life Sciences,1,74,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,853,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8
303,55,No,0,Travel_Rarely,Research & Development,22,3,Technical Degree,1,1694,1,Male,94,2,1,Research Scientist,2,Divorced,3537,23737,1441,5,Y,No,12,3,4,80,1,8,1,3,4,2,1,2
304,35,No,0,Travel_Rarely,Research & Development,9,4,Medical,1,2008,2,Male,48,3,2,Research Scientist,3,Single,5098,18698,1395,1,Y,No,19,3,2,80,0,10,5,3,10,7,0,8
306,24,No,0,Non-Travel,Research & Development,4,1,Life Sciences,1,888,1,Male,46,2,1,Laboratory Technician,4,Married,3162,10778,1269,0,Y,No,17,3,4,80,0,6,2,2,5,2,3,4
307,50,No,0,Travel_Rarely,Research & Development,9,3,Life Sciences,1,1030,1,Male,64,3,1,Laboratory Technician,4,Married,2380,20165,804,4,Y,No,18,3,2,80,0,8,5,3,1,0,0,0
308,34,No,0,Non-Travel,Research & Development,3,4,Life Sciences,1,1115,3,Male,40,2,1,Research Scientist,4,Married,2979,22478,697,3,Y,No,17,3,4,80,3,6,2,3,0,0,0,0
309,55,No,0,Travel_Frequently,Research & Development,18,4,Medical,1,1034,3,Male,62,3,2,Healthcare Representative,2,Married,6385,12992,135,3,Y,Yes,14,3,4,80,2,17,3,3,8,7,6,7
310,25,No,0,Travel_Rarely,Sales,8,3,Life Sciences,1,707,4,Male,57,4,2,Sales Executive,2,Married,4851,15678,810,0,Y,No,22,4,3,80,1,4,4,3,3,2,1,2
311,34,No,0,Travel_Rarely,Research & Development,1,4,Life Sciences,1,1580,2,Male,45,3,2,Research Scientist,4,Married,5484,13008,1351,9,Y,No,17,3,2,80,1,9,3,2,2,2,2,1
312,40,No,0,Travel_Rarely,Research & Development,6,3,Life Sciences,1,601,2,Female,75,3,4,Manufacturing Director,3,Single,13237,20364,302,7,Y,No,15,3,3,80,0,22,3,3,20,6,5,13
314,51,No,0,Travel_Rarely,Research & Development,7,4,Medical,1,211,2,Male,34,2,2,Manufacturing Director,3,Married,6132,13983,1169,2,Y,No,17,3,3,80,0,10,2,3,1,0,0,0
315,60,No,0,Travel_Rarely,Sales,16,4,Marketing,1,732,1,Male,84,3,2,Sales Executive,1,Single,5405,11924,1179,8,Y,No,14,3,4,80,0,10,1,3,2,2,2,2
316,47,No,0,Travel_Rarely,Sales,4,2,Life Sciences,1,1003,4,Female,83,3,2,Sales Executive,4,Single,4163,8571,955,1,Y,Yes,17,3,3,80,0,9,0,3,9,0,0,7
317,34,No,0,Travel_Frequently,Sales,2,4,Marketing,1,216,3,Female,75,3,1,Sales Representative,3,Married,2231,11314,303,6,Y,No,18,3,4,80,1,6,3,3,4,3,1,2
